date [mm-dd],city_lower,city_mean,city_upper
04-29,Vlieland_8.27,Vlieland_8.84,Vlieland_9.41
04-30,Eindhoven_7.65,Eindhoven_10.16,Eindhoven_12.67
04-30,Rotterdam_7.26,Rotterdam_9.90,Rotterdam_12.54
04-30,Vlieland_8.11,Vlieland_9.48,Vlieland_10.85
05-01,Eindhoven_7.04,Eindhoven_10.08,Eindhoven_13.12
05-01,Rotterdam_7.26,Rotterdam_9.52,Rotterdam_11.78
05-01,Vlieland_7.22,Vlieland_9.10,Vlieland_10.98
05-02,Eindhoven_7.10,Eindhoven_9.48,Eindhoven_11.86
05-02,Rotterdam_7.40,Rotterdam_9.46,Rotterdam_11.52
05-02,Vlieland_7.93,Vlieland_9.10,Vlieland_10.27
05-03,Eindhoven_8.85,Eindhoven_10.58,Eindhoven_12.31
05-03,Rotterdam_7.98,Rotterdam_10.06,Rotterdam_12.14
05-03,Vlieland_7.89,Vlieland_9.02,Vlieland_10.15
05-04,Eindhoven_6.54,Eindhoven_11.30,Eindhoven_16.06
05-04,Rotterdam_6.59,Rotterdam_10.38,Rotterdam_14.17
05-04,Vlieland_7.29,Vlieland_9.10,Vlieland_10.91
05-05,Eindhoven_5.56,Eindhoven_10.26,Eindhoven_14.96
05-05,Rotterdam_6.01,Rotterdam_10.06,Rotterdam_14.11
05-05,Vlieland_6.63,Vlieland_9.56,Vlieland_12.49
05-06,Eindhoven_6.00,Eindhoven_10.90,Eindhoven_15.80
05-06,Rotterdam_5.91,Rotterdam_10.86,Rotterdam_15.81
05-06,Vlieland_6.24,Vlieland_9.98,Vlieland_13.72
05-07,Eindhoven_7.37,Eindhoven_12.34,Eindhoven_17.31
05-07,Rotterdam_7.53,Rotterdam_12.00,Rotterdam_16.47
05-07,Vlieland_6.26,Vlieland_10.28,Vlieland_14.30
